"""Customer Provided Item"" cannot be Purchase Item also","""الأصناف المقدمة من العملاء"" لا يمكن شرائها",
Accountant,محاسب,
Actual Qty {0} / Waiting Qty {1},الكمية الفعلية {0} / الكمية المنتظره {1},
Actual Qty: Quantity available in the warehouse.,الكمية الفعلية : الكمية المتوفرة في المستودع.,
Administrative Officer,موظف إداري,
Advertising,الدعاية,
Aerospace,الفضاء,
Airline,الطيران,
Amount to Bill,قيمة الفاتورة,
Bank Reconciliation,تسويات مصرفية,
Bank Statement,كشف حساب بنكى,
Commission Rate %,نسبة العمولة ٪,
Contribution %,المساهمة %,
Expense Claim,طلب النفقات,
"For an item {0}, quantity must be negative number",بالنسبة إلى عنصر {0} ، يجب أن تكون الكمية رقمًا سالبًا,
"For an item {0}, quantity must be positive number",بالنسبة إلى عنصر {0} ، يجب أن تكون الكمية رقمًا موجبًا,
Import Data,بيانات الاستيراد,
Item {0} must be a Sub-contracted Item,البند {0} يجب أن يكون عنصر التعاقد الفرعي,
Loan,قرض,
Model,الموديل,
No Delivery Note selected for Customer {},لم يتم تحديد ملاحظة التسليم للعميل {},
Not allow to set alternative item for the item {0},لا تسمح بتعيين عنصر بديل للعنصر {0},
One customer can be part of only single Loyalty Program.,يمكن أن يكون أحد العملاء جزءًا من برنامج الولاء الوحيد.,
"Operation {0} longer than any available working hours in workstation {1}, break down the operation into multiple operations",العملية {0} أطول من أي ساعات عمل متاحة في محطة العمل {1}، قسم العملية إلى عمليات متعددة,
Overlap in scoring between {0} and {1},التداخل في التسجيل بين {0} و {1},
POS Profile required to make POS Entry,ملف نقطة البيع مطلوب للقيام بإدخال خاص بنقطة البيع,
Please select Company and Posting Date to getting entries,يرجى تحديد الشركة وتاريخ النشر للحصول على إدخالات,
Please select the Multiple Tier Program type for more than one collection rules.,يرجى تحديد نوع البرنامج متعدد الطبقات لأكثر من قواعد مجموعة واحدة.,
Quantity must be less than or equal to {0},يجب أن تكون الكمية أقل من أو تساوي {0},
Ref,المرجع,
Row #{0}: Timings conflicts with row {1},الصف # {0}: التوقيت يتعارض مع الصف {1},
Short Name,الاسم المختصر,
The 'From Package No.' field must neither be empty nor it's value less than 1.,و &quot;من حزمة رقم&quot; يجب ألا يكون الحقل فارغا ولا قيمة أقل من 1.,
Tools,أدوات,
Total Taxable Amount,إجمالي المبلغ الخاضع للضريبة,
Total hours: {0},مجموع الساعات: {0},
Unable to find score starting at {0}. You need to have standing scores covering 0 to 100,تعذر العثور على النتيجة بدءا من {0}. يجب أن يكون لديك درجات دائمة تغطي 0 إلى 100,
Valuation type charges can not marked as Inclusive,لا يمكن وضع علامة على رسوم التقييم على انها شاملة,
Work Order cannot be raised against a Item Template,لا يمكن رفع أمر العمل مقابل قالب العنصر,
You cannot edit root node.,لا يمكنك تحرير عقدة الجذر.,
cannot be greater than 100,لايمكن أن يكون أكبر من 100,
hidden,مخفي,
{0} is on hold till {1},{0} معلق حتى {1},
{0}% Delivered,{0}٪ تم التسليم,
End Time,وقت الانتهاء,
Error: {0} is mandatory field,الخطأ: {0} هو حقل إلزامي,
Purchase Receipt doesn't have any Item for which Retain Sample is enabled.,لا يحتوي إيصال الشراء على أي عنصر تم تمكين الاحتفاظ عينة به.,
Row #{0}: Operation {1} is not completed for {2} qty of finished goods in Work Order {3}. Please update operation status via Job Card {4}.,الصف # {0}: العملية {1} لم تكتمل لـ {2} الكمية من السلع تامة الصنع في أمر العمل {3}. يرجى تحديث حالة التشغيل عبر بطاقة العمل {4}.,
Row {0}: Quantity not available for {4} in warehouse {1} at posting time of the entry ({2} {3}),الصف {0}: الكمية غير متوفرة {4} في المستودع {1} في وقت نشر الإدخال ({2} {3}),
Total payments amount can't be greater than {},لا يمكن أن يكون إجمالي المدفوعات أكبر من {},
Work Order {0}: Job Card not found for the operation {1},أمر العمل {0}: لم يتم العثور على بطاقة المهمة للعملية {1},
hours,ساعات,
"Row {0}: The item {1}, quantity must be positive number",الصف {0}: العنصر {1} ، يجب أن تكون الكمية رقمًا موجبًا,
Components,مكونات,
Work Order cannot be created for following reason: <br> {0},لا يمكن إنشاء أمر العمل للسبب التالي:<br> {0},
Old Parent,الحساب الأب السابق,
Bank Account No,رقم الحساب البنكي,
Other Details,تفاصيل أخرى,
Invoice No,رقم الفاتورة,
Exchange Rate,سعر الصرف,
Payment Account,حساب الدفع,
Is Paid,مدفوع,
Total Taxes and Charges,مجموع الضرائب والرسوم,
Rounding Adjustment (Company Currency),تعديل التقريب (عملة الشركة),
Rounded Total (Company Currency),المشاركات تقريب (العملة الشركة),
Disable Rounded Total,تعطيل الاجمالي المقرب,
Advances,الدفعات المقدمة,
Terms,الشروط,
Deferred Expense Account,حساب المصروفات المؤجلة,
Account Head,رئيس حساب,
Accounting Details,تفاصيل المحاسبة,
Commission Rate (%),نسبة العمولة (٪),
Time Sheet,ورقة الوقت,
A condition for a Shipping Rule,شرط للحصول على قانون الشحن,
Current Invoice Start Date,تاريخ بدء الفاتورة الحالي,
Current Invoice End Date,تاريخ انتهاء الفاتورة الحالي,
Cost,كلفة,
From Employee,من الموظف,
Advance Paid,مسبقا المدفوعة,
Purchase Order Item Supplied,الأصناف المزوده بامر الشراء,
Criteria,المعايير,
Linked Documents,المستندات المرتبطة,
Employee Number,رقم الموظف,
In Process,في عملية,
Interest,فائدة,
Schedule Name,اسم الجدول الزمني,
Offer Date,تاريخ العرض,
Advance Account,حساب مقدم,
Task Weight,وزن المهمة,
Activities,أنشطة,
Total Holidays,مجموع العطلات,
Holidays,العطلات,
Printing Details,تفاصيل الطباعة,
Abbr,اسم مختصر,
Total Working Hours,مجموع ساعات العمل,
Hour Rate,سعرالساعة,
Costing,تكلف,
License Plate,لوحة الترخيص,
Scrap,خردة,
Other Settings,اعدادات اخرى,
% Complete Method,الطريقة الكاملة٪,
% Completed,٪ مكتمل,
Gross Margin %,هامش إجمالي٪,
